t_s,irtifa_m,vz_ms,hiz_ms,egim_deg,kutle_kg
0.000,0.00,0.00,0.00,4.973,23.166
0.020,0.00,0.05,0.05,4.973,23.153
0.040,0.01,0.45,0.46,4.973,23.140
0.060,0.02,1.26,1.27,4.973,23.127
0.080,0.06,2.46,2.47,4.973,23.114
0.100,0.12,4.07,4.08,4.973,23.101
0.120,0.22,5.93,5.96,4.973,23.079
0.140,0.36,7.76,7.79,4.973,23.055
0.160,0.53,9.54,9.58,4.973,23.030
0.180,0.74,11.28,11.33,4.973,23.006
0.200,0.98,12.98,13.03,4.973,22.982
0.220,1.26,14.63,14.69,4.973,22.959
0.240,1.57,16.27,16.34,4.973,22.936
0.260,1.91,17.89,17.96,4.973,22.914
0.280,2.28,19.49,19.57,4.973,22.892
0.300,2.69,21.07,21.15,4.973,22.870
0.320,3.13,22.63,22.72,4.973,22.848
0.340,3.60,24.19,24.29,4.973,22.826
0.360,4.09,25.75,25.85,4.973,22.805
0.380,4.62,27.31,27.42,4.973,22.783
0.400,5.19,28.86,28.98,4.973,22.761
0.419,5.73,30.30,30.42,4.973,22.741
0.471,7.42,34.40,34.54,4.973,22.685
0.569,11.19,42.28,42.46,4.916,22.576
0.669,15.82,50.39,50.62,4.801,22.465
0.769,21.27,58.58,58.85,4.572,22.354
0.869,27.54,66.85,67.15,4.228,22.242
0.969,34.64,75.19,75.52,3.770,22.131
1.068,42.50,83.52,83.87,3.197,22.022
1.168,51.27,91.81,92.17,2.509,21.916
1.268,60.85,99.93,100.29,1.764,21.810
1.368,71.25,107.86,108.22,0.962,21.704
1.468,82.42,115.61,115.95,0.275,21.598
1.568,94.36,123.17,123.48,0.275,21.492
1.668,107.05,130.61,130.90,0.561,21.395
1.768,120.48,138.01,138.26,0.619,21.297
1.868,134.65,145.35,145.58,0.275,21.199
1.968,149.55,152.63,152.85,0.332,21.101
2.068,165.18,159.86,160.07,1.077,21.003
2.167,181.35,166.94,167.15,1.764,20.911
2.267,198.40,173.96,174.18,2.166,20.819
2.367,216.14,180.86,181.10,2.223,20.726
2.467,234.57,187.65,187.90,1.879,20.634
2.567,253.67,194.32,194.57,1.249,20.541
2.666,273.23,200.79,201.03,0.676,20.456
2.766,293.62,207.14,207.38,0.332,20.372
2.866,314.65,213.30,213.53,0.332,20.288
2.966,336.28,219.27,219.49,0.676,20.204
3.066,358.50,225.05,225.27,1.249,20.120
3.165,381.05,230.59,230.81,1.707,20.041
3.265,404.38,236.07,236.30,1.764,19.963
3.365,428.26,241.45,241.69,1.363,19.885
3.465,452.67,246.59,246.83,0.790,19.811
3.554,474.80,250.79,251.03,0.447,19.750
3.637,495.64,254.37,254.60,0.561,19.694
3.715,515.68,257.46,257.68,0.905,19.649
3.815,541.60,260.92,261.14,1.535,19.592
3.914,567.64,263.82,264.05,1.822,19.536
3.990,587.83,265.88,266.12,1.707,19.499
4.090,614.55,268.49,268.73,1.134,19.450
4.178,638.23,270.66,270.90,0.676,19.410
4.278,665.40,272.69,272.93,0.561,19.370
4.378,692.75,274.16,274.39,0.962,19.330
4.473,718.79,275.08,275.32,1.535,19.299
4.573,746.34,275.77,276.01,1.822,19.271
4.673,773.97,276.20,276.44,1.535,19.242
4.773,801.60,276.43,276.67,0.848,19.219
4.873,829.25,276.52,276.77,0.504,19.195
4.973,856.90,276.48,276.72,0.905,19.174
5.073,884.54,276.24,276.48,1.593,19.156
5.173,912.14,275.78,276.02,1.936,19.137
5.272,939.41,275.12,275.37,1.535,19.125
5.372,966.88,274.26,274.51,0.790,19.115
5.472,994.25,273.20,273.45,0.504,19.105
5.572,1021.51,271.96,272.20,0.848,19.095
5.672,1048.64,270.52,270.77,1.535,19.085
5.772,1075.61,268.92,269.17,1.822,19.079
5.872,1102.42,267.26,267.51,1.478,19.077
5.972,1129.06,265.56,265.81,0.848,19.074
6.072,1155.53,263.81,264.06,0.504,19.071
6.172,1181.82,262.02,262.27,0.676,19.068
6.271,1207.67,260.20,260.45,1.192,19.066
6.371,1233.60,258.36,258.61,1.650,19.065
6.471,1259.35,256.51,256.76,1.707,19.065
6.571,1284.90,254.65,254.91,1.249,19.064
6.671,1310.28,252.79,253.05,0.733,19.063
6.770,1335.21,250.94,251.20,0.504,19.063
6.870,1360.21,249.09,249.34,0.790,19.063
6.970,1385.03,247.25,247.50,1.306,19.063
7.070,1409.66,245.42,245.68,1.707,19.063
7.170,1434.11,243.61,243.88,1.764,19.063
7.270,1458.38,241.82,242.09,1.363,19.063
7.370,1482.48,240.04,240.31,0.848,19.063
7.470,1506.39,238.28,238.55,0.619,19.063
7.570,1530.13,236.54,236.80,0.790,19.063
7.670,1553.70,234.80,235.07,1.134,19.063
7.770,1577.10,233.09,233.35,1.535,19.063
7.870,1600.32,231.38,231.65,1.593,19.063
7.970,1623.37,229.69,229.96,1.363,19.063
8.070,1646.26,228.01,228.29,1.020,19.063
8.170,1668.97,226.34,226.62,0.790,19.063
8.270,1691.52,224.69,224.97,0.848,19.063
8.370,1713.91,223.05,223.33,1.192,19.063
8.470,1736.13,221.42,221.70,1.535,19.063
8.570,1758.20,219.80,220.09,1.650,19.063
8.670,1780.10,218.20,218.48,1.593,19.063
8.770,1801.84,216.60,216.89,1.421,19.063
8.870,1823.42,215.02,215.31,1.306,19.063
8.970,1844.84,213.45,213.74,1.306,19.063
9.070,1866.11,211.89,212.18,1.421,19.063
9.170,1887.22,210.34,210.63,1.593,19.063
9.270,1908.18,208.80,209.09,1.650,19.063
9.370,1928.98,207.27,207.56,1.593,19.063
9.470,1949.63,205.75,206.05,1.306,19.063
9.570,1970.13,204.24,204.54,0.962,19.063
9.670,1990.48,202.74,203.04,0.790,19.063
9.770,2010.68,201.25,201.54,0.790,19.063
9.870,2030.73,199.76,200.06,1.077,19.063
9.970,2050.63,198.29,198.59,1.421,19.063
10.070,2070.39,196.83,197.13,1.822,19.063
10.170,2090.00,195.37,195.68,1.936,19.063
10.270,2109.46,193.92,194.23,1.822,19.063
10.370,2128.78,192.48,192.79,1.478,19.063
10.470,2147.96,191.05,191.37,1.134,19.063
10.570,2166.99,189.63,189.94,0.848,19.063
10.670,2185.88,188.21,188.53,0.790,19.063
10.770,2204.63,186.81,187.12,0.962,19.063
10.870,2223.24,185.41,185.72,1.249,19.063
10.970,2241.72,184.02,184.33,1.593,19.063
11.070,2260.05,182.63,182.95,1.764,19.063
11.170,2278.24,181.25,181.58,1.650,19.063
11.270,2296.30,179.88,180.21,1.363,19.063
11.370,2314.22,178.52,178.85,1.134,19.063
11.470,2332.00,177.16,177.49,1.020,19.063
11.570,2349.65,175.81,176.15,1.020,19.063
11.670,2367.16,174.47,174.80,1.249,19.063
11.770,2384.55,173.14,173.47,1.478,19.063
11.870,2401.79,171.81,172.14,1.764,19.063
11.970,2418.91,170.48,170.82,1.994,19.063
12.070,2435.89,169.16,169.51,1.994,19.063
12.170,2452.74,167.85,168.20,1.879,19.063
12.270,2469.46,166.55,166.90,1.707,19.063
12.370,2486.05,165.25,165.60,1.535,19.063
12.470,2502.51,163.96,164.31,1.421,19.063
12.570,2518.84,162.67,163.02,1.421,19.063
12.670,2535.04,161.39,161.74,1.478,19.063
12.770,2551.12,160.11,160.47,1.650,19.063
12.870,2567.07,158.84,159.20,1.879,19.063
12.970,2582.89,157.57,157.93,1.994,19.063
13.070,2598.58,156.31,156.68,1.994,19.063
13.170,2614.15,155.06,155.42,1.994,19.063
13.270,2629.59,153.81,154.18,1.822,19.063
13.370,2644.91,152.56,152.94,1.650,19.063
13.470,2660.10,151.32,151.70,1.363,19.063
13.570,2675.17,150.09,150.46,1.192,19.063
13.670,2690.12,148.85,149.23,1.077,19.063
13.770,2704.95,147.63,148.01,1.249,19.063
13.870,2719.65,146.41,146.79,1.478,19.063
13.970,2734.23,145.19,145.57,1.822,19.063
14.070,2748.68,143.98,144.36,2.223,19.063
14.170,2763.02,142.77,143.16,2.509,19.063
14.270,2777.24,141.57,141.96,2.796,19.063
14.370,2791.34,140.37,140.76,2.910,19.063
14.470,2805.31,139.17,139.57,2.853,19.063
14.570,2819.17,137.97,138.38,2.624,19.063
14.670,2832.91,136.79,137.20,2.280,19.063
14.770,2846.53,135.60,136.02,1.936,19.063
14.870,2860.03,134.43,134.84,1.478,19.063
14.970,2873.41,133.25,133.67,1.134,19.063
15.070,2886.68,132.08,132.50,0.905,19.063
15.170,2899.83,130.91,131.33,0.905,19.063
15.270,2912.86,129.75,130.17,1.192,19.063
15.370,2925.78,128.59,129.01,1.593,19.063
15.470,2938.58,127.43,127.86,2.166,19.063
15.570,2951.26,126.28,126.71,2.681,19.063
15.670,2963.84,125.13,125.56,3.140,19.063
15.770,2976.29,123.98,124.42,3.426,19.063
15.870,2988.63,122.83,123.28,3.483,19.063
15.970,3000.86,121.69,122.14,3.311,19.063
16.070,3012.97,120.55,121.01,3.025,19.063
16.170,3024.97,119.42,119.88,2.681,19.063
16.270,3036.85,118.29,118.76,2.337,19.063
16.370,3048.63,117.16,117.64,1.994,19.063
16.470,3060.29,116.04,116.51,1.707,19.063
16.570,3071.83,114.92,115.39,1.593,19.063
16.670,3083.27,113.80,114.28,1.650,19.063
16.770,3094.59,112.69,113.17,1.764,19.063
16.870,3105.81,111.58,112.06,1.994,19.063
16.970,3116.91,110.47,110.95,2.280,19.063
17.070,3127.90,109.36,109.85,2.624,19.063
17.170,3138.78,108.26,108.75,2.910,19.063
17.270,3149.55,107.16,107.66,3.082,19.063
17.370,3160.22,106.06,106.57,3.197,19.063
17.470,3170.77,104.96,105.48,3.140,19.063
17.570,3181.21,103.87,104.39,2.968,19.063
17.670,3191.54,102.78,103.31,2.739,19.063
17.770,3201.76,101.69,102.22,2.452,19.063
17.870,3211.88,100.60,101.14,2.166,19.063
17.970,3221.88,99.52,100.06,1.936,19.063
18.070,3231.78,98.44,98.99,1.764,19.063
18.170,3241.57,97.36,97.91,1.764,19.063
18.270,3251.26,96.29,96.84,1.822,19.063
18.370,3260.83,95.22,95.77,1.994,19.063
18.470,3270.30,94.14,94.70,2.280,19.063
18.570,3279.66,93.08,93.64,2.624,19.063
18.670,3288.91,92.01,92.58,3.025,19.063
18.770,3298.06,90.94,91.52,3.369,19.063
18.870,3307.10,89.88,90.46,3.655,19.063
18.970,3316.04,88.82,89.41,3.884,19.063
19.070,3324.87,87.76,88.36,3.999,19.063
19.170,3333.59,86.70,87.31,4.114,19.063
19.270,3342.21,85.64,86.26,4.114,19.063
19.370,3350.72,84.59,85.22,3.999,19.063
19.470,3359.12,83.54,84.18,3.884,19.063
19.570,3367.43,82.49,83.14,3.655,19.063
19.670,3375.62,81.44,82.10,3.426,19.063
19.770,3383.72,80.40,81.06,3.197,19.063
19.870,3391.70,79.35,80.02,2.968,19.063
19.970,3399.59,78.31,78.99,2.739,19.063
20.070,3407.36,77.27,77.96,2.567,19.063
20.170,3415.04,76.24,76.92,2.509,19.063
20.270,3422.61,75.20,75.89,2.509,19.063
20.370,3430.08,74.17,74.87,2.624,19.063
20.470,3437.45,73.13,73.84,2.796,19.063
20.570,3444.71,72.10,72.81,3.140,19.063
20.670,3451.87,71.07,71.79,3.483,19.063
20.770,3458.92,70.04,70.77,3.942,19.063
20.870,3465.88,69.02,69.76,4.343,19.063
20.970,3472.72,67.99,68.74,4.801,19.063
21.070,3479.47,66.97,67.73,5.260,19.063
21.170,3486.12,65.94,66.72,5.661,19.063
21.270,3492.66,64.92,65.71,5.947,19.063
21.370,3499.10,63.89,64.70,6.176,19.063
21.470,3505.44,62.87,63.70,6.291,19.063
21.570,3511.68,61.85,62.69,6.291,19.063
21.670,3517.81,60.83,61.69,6.234,19.063
21.770,3523.84,59.81,60.69,6.062,19.063
21.870,3529.77,58.80,59.69,5.832,19.063
21.970,3535.60,57.79,58.69,5.546,19.063
22.070,3541.33,56.77,57.70,5.260,19.063
22.170,3546.96,55.76,56.70,4.916,19.063
22.270,3552.48,54.75,55.71,4.572,19.063
22.370,3557.91,53.75,54.72,4.171,19.063
22.470,3563.23,52.74,53.73,3.827,19.063
22.570,3568.46,51.73,52.74,3.483,19.063
22.670,3573.58,50.73,51.76,3.197,19.063
22.770,3578.60,49.73,50.77,2.853,19.063
22.870,3583.52,48.72,49.79,2.624,19.063
22.970,3588.35,47.72,48.81,2.337,19.063
23.070,3593.07,46.72,47.83,2.166,19.063
23.170,3597.69,45.72,46.85,1.994,19.063
23.270,3602.21,44.72,45.87,1.879,19.063
23.370,3606.63,43.72,44.89,1.822,19.063
23.470,3610.96,42.72,43.91,1.879,19.063
23.570,3615.18,41.73,42.94,1.994,19.063
23.670,3619.30,40.73,41.97,2.223,19.063
23.770,3623.32,39.74,41.00,2.509,19.063
23.870,3627.25,38.74,40.03,2.853,19.063
23.970,3631.07,37.75,39.06,3.254,19.063
24.070,3634.80,36.76,38.10,3.713,19.063
24.170,3638.43,35.77,37.14,4.228,19.063
24.270,3641.95,34.77,36.19,4.744,19.063
24.370,3645.38,33.78,35.23,5.317,19.063
24.470,3648.71,32.79,34.28,5.947,19.063
24.570,3651.94,31.80,33.34,6.520,19.063
24.670,3655.07,30.82,32.40,7.150,19.063
24.770,3658.10,29.83,31.46,7.723,19.063
24.870,3661.03,28.84,30.52,8.354,19.063
24.970,3663.87,27.85,29.59,8.984,19.063
25.070,3666.61,26.87,28.66,9.614,19.063
25.170,3669.24,25.88,27.74,10.244,19.063
25.270,3671.78,24.89,26.82,10.817,19.063
25.370,3674.22,23.91,25.91,11.447,19.063
25.470,3676.56,22.92,25.01,12.020,19.063
25.570,3678.81,21.94,24.11,12.536,19.063
25.670,3680.95,20.95,23.22,13.109,19.063
25.770,3683.00,19.97,22.33,13.625,19.063
25.870,3684.95,18.99,21.46,14.198,19.063
25.970,3686.80,18.01,20.59,14.713,19.063
26.070,3688.55,17.02,19.74,15.229,19.063
26.170,3690.20,16.04,18.90,15.745,19.063
26.270,3691.76,15.06,18.07,16.318,19.063
26.370,3693.21,14.08,17.27,16.833,19.063
26.470,3694.57,13.10,16.47,17.349,19.063
26.570,3695.83,12.12,15.71,17.922,19.063
26.670,3697.00,11.14,14.96,18.438,19.063
26.770,3698.06,10.16,14.25,18.953,19.063
26.870,3699.03,9.18,13.56,19.526,19.063
26.970,3699.90,8.20,12.92,20.042,19.063
27.070,3700.67,7.22,12.32,20.615,19.063
27.170,3701.34,6.25,11.77,21.188,19.063
27.270,3701.92,5.27,11.28,21.703,19.063
27.370,3702.40,4.29,10.85,22.276,19.063
27.470,3702.78,3.31,10.50,22.907,19.063
27.570,3703.06,2.34,10.22,23.480,19.063
27.670,3703.24,1.36,10.04,24.053,19.063
27.770,3703.33,0.38,9.95,24.683,19.063
27.870,3703.32,-0.59,9.96,25.256,19.063
27.970,3703.21,-1.57,10.06,25.829,13.932
28.263,3702.34,-4.35,10.78,26.287,13.932
29.829,3686.64,-14.14,16.25,26.287,13.932
